2025-08-25 12:35:00,886 | INFO | Sniffing iface=default filter=tcp or udp or icmp or port 53
2025-08-25 12:35:46,760 | INFO | TCP 168.63.129.16:32526 -> 10.0.1.68:57508
2025-08-25 12:35:46,760 | INFO | TCP 168.63.129.16:32526 -> 10.0.1.68:57508
2025-08-25 12:35:46,760 | INFO | TCP 10.0.1.68:57502 -> 168.63.129.16:32526
2025-08-25 12:35:46,760 | INFO | TCP 10.0.1.68:57508 -> 168.63.129.16:32526
2025-08-25 12:35:46,761 | INFO | TCP 168.63.129.16:32526 -> 10.0.1.68:57502
2025-08-25 12:35:46,761 | INFO | TCP 168.63.129.16:32526 -> 10.0.1.68:57508
2025-08-25 12:35:46,781 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:46,782 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:46,782 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:46,826 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:46,870 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:46,903 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:46,904 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:46,906 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:46,906 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:46,907 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:46,908 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:46,908 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:46,909 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:46,909 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:46,909 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:46,913 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:46,915 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:46,916 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:46,917 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:46,972 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:46,974 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:46,974 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:46,975 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:46,989 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:46,990 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:46,991 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:46,992 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:46,993 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:46,994 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:46,997 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:46,998 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:46,999 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,000 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,001 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,001 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,003 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:47,004 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:47,007 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,008 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,009 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:47,045 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,046 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,049 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:47,072 | INFO | TCP 10.0.1.68:47500 -> 57.150.3.165:443
2025-08-25 12:35:47,077 | INFO | TCP 57.150.3.165:443 -> 10.0.1.68:47500
2025-08-25 12:35:47,078 | INFO | TCP 57.150.3.165:443 -> 10.0.1.68:47500
2025-08-25 12:35:47,078 | INFO | TCP 10.0.1.68:47500 -> 57.150.3.165:443
2025-08-25 12:35:47,100 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:47,103 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,104 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,105 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:47,124 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:47,127 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,128 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,129 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:47,188 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:47,191 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,192 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,193 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:47,252 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:47,254 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,258 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,261 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,262 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,262 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:47,263 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,263 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:47,278 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:47,282 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,282 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,283 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:47,314 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:47,318 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,319 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,319 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:47,356 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:47,363 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,363 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,364 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:47,378 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:47,381 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,381 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,382 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:47,510 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,512 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,512 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:47,628 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:47,631 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,632 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,633 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:47,640 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,640 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,641 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:47,705 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,706 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,707 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:47,730 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:47,733 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,734 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
2025-08-25 12:35:47,735 | INFO | TCP 20.103.221.187:443 -> 10.0.1.68:37124
2025-08-25 12:35:47,769 | INFO | TCP 10.0.1.68:37124 -> 20.103.221.187:443
